NAMESPACE          NAME                                         READY   STATUS    RESTARTS   AGE     IP            NODE                                         NOMINATED NODE   READINESS GATES
user23-devspaces   workspace6718cd8623ee4bc0-778c7b448b-dmddt   3/3     Running   0          3m36s   10.128.2.11   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user24-devspaces   workspace2f837a8f462740d5-568c76fb47-8g9xr   3/3     Running   0          3m33s   10.131.0.42   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user25-devspaces   workspace23f080dc541146df-55c8784565-6gdnv   3/3     Running   0          3m31s   10.129.0.34   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user26-devspaces   workspace27efdb09f9014452-5ddb94d6c8-mckkl   3/3     Running   0          3m29s   10.129.0.35   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user27-devspaces   workspace1a772c3ae5fe4ecc-5c496c5cdc-6t9sl   3/3     Running   0          3m27s   10.131.0.43   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user28-devspaces   workspaceb434c9b720794ce4-7c4f65bdcd-5qvfk   3/3     Running   0          3m25s   10.130.0.45   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user29-devspaces   workspace634456587b264534-9f9bffb6d-7jc57    3/3     Running   0          3m23s   10.128.2.12   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user3-devspaces    workspace5d834ced30bb4869-79d946b6d7-b56f7   3/3     Running   0          6m36s   10.130.0.30   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user30-devspaces   workspace154c5604e9024316-76f874cf76-8c54k   3/3     Running   0          3m21s   10.130.0.46   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user31-devspaces   workspaceaf028e1d30804aab-78864765f-wpz8v    3/3     Running   0          3m19s   10.131.0.44   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user32-devspaces   workspaced80bd6f8d608413d-98d895d4c-t9j7g    3/3     Running   0          3m17s   10.129.0.36   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user33-devspaces   workspaced15655e9c0b44ad6-76bd564576-qndkj   3/3     Running   0          3m15s   10.130.0.47   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user34-devspaces   workspacedde90abfe37b4304-6fc7d8d857-72zl6   3/3     Running   0          3m12s   10.128.2.13   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user35-devspaces   workspace7c2348d6c46546aa-799d7765b8-mqs72   3/3     Running   0          3m10s   10.129.0.37   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user36-devspaces   workspace89bda473b9b246ac-5f74547474-lkljq   3/3     Running   0          3m8s    10.131.0.46   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user37-devspaces   workspaceda7ea8265b4248b1-6dd5d48965-fs2p6   3/3     Running   0          3m6s    10.130.0.49   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user38-devspaces   workspace7886254aebaa43da-769cc65d4f-v677k   3/3     Running   0          3m4s    10.128.2.15   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user39-devspaces   workspace9ba7169bab7a4790-6bffc646fb-5zwqc   3/3     Running   0          3m2s    10.129.0.39   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user4-devspaces    workspace761154d261034d12-5794c4cdfc-db9nd   3/3     Running   0          6m34s   10.130.0.31   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user40-devspaces   workspaceff2e4794a7394055-66fdc4d66d-5fk4x   3/3     Running   0          2m59s   10.128.2.16   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user41-devspaces   workspace592dc43e0e8949e7-f6f44ccd8-8flfn    3/3     Running   0          2m57s   10.131.0.47   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user42-devspaces   workspace3ffc19d387464240-798999fc4-575fg    3/3     Running   0          2m54s   10.130.0.50   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user43-devspaces   workspace3674096e18d24daf-bf6858b55-27nzk    3/3     Running   0          2m51s   10.129.0.40   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user44-devspaces   workspace6abe9dbce91a47a7-7b6d698499-jzks2   3/3     Running   0          2m49s   10.128.2.17   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user45-devspaces   workspace9eef51db572f40bc-7fc7fdb887-7dpwd   3/3     Running   0          2m47s   10.131.0.48   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user46-devspaces   workspace416f181acc16483a-c9797b495-jp2dc    3/3     Running   0          2m45s   10.130.0.51   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user47-devspaces   workspacea9d3ffcdbce6431e-654c9f5c9d-tnnbl   3/3     Running   0          2m42s   10.129.0.41   ip-10-0-246-28.eu-west-1.compute.internal    <none>           <none>
user48-devspaces   workspace4ddba38cbe3a4aee-84555cfbbc-qwj96   3/3     Running   0          2m40s   10.128.2.18   ip-10-0-243-34.eu-west-1.compute.internal    <none>           <none>
user49-devspaces   workspacef125272d4dfd44c4-5b549f978f-qgd9p   3/3     Running   0          2m37s   10.131.0.49   ip-10-0-237-205.eu-west-1.compute.internal   <none>           <none>
user5-devspaces    workspaceb2ebf8bdb8b64757-54c4459575-csd6q   3/3     Running   0          6m32s   10.130.0.32   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user50-devspaces   workspace623a90d8b6924fd3-59b8d56b7b-bfmhg   3/3     Running   0          2m35s   10.130.0.52   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user6-devspaces    workspaceb258fda285c846f7-66976bfb9-n5wxv    3/3     Running   0          6m29s   10.130.0.33   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user7-devspaces    workspacee2da5508b3ba4a0e-58bb799cfc-bxdtj   3/3     Running   0          6m27s   10.130.0.34   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user8-devspaces    workspacede98754db22c43c3-6cc8b9ccfd-96cbm   3/3     Running   0          6m25s   10.130.0.35   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
user9-devspaces    workspaced877b86874214b94-69b8f44698-qvkg7   3/3     Running   0          6m23s   10.130.0.36   ip-10-0-200-75.eu-west-1.compute.internal    <none>           <none>
